,Product,Manufacturer,Architecture,Released,BUS,Memory,GPU.Clock,Memory.Clock,Shaders.TMUs.ROPs,Production.Status
470,Radeon HD 7970 GHz Edition,AMD,Tahiti,"Jun 22nd, 2012",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",1000 MHz,1500 MHz,2048 / 128 / 32,End-of-life
471,Radeon HD 7970 X2,AMD,New Zealand,"Aug 31st, 2012",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",925 MHz,1375 MHz,2048 / 128 / 32,End-of-life
472,Radeon HD 7970M,AMD,Wimbledon,"Apr 24th, 2012",MXM-B (3.0),"2 GB, GDDR5, 256 bit",850 MHz,1200 MHz,1280 / 80 / 32,End-of-life
473,Radeon HD 7970M X2,AMD,Wimbledon,"Apr 24th, 2012",MXM-B (3.0),"2 GB, GDDR5, 256 bit",850 MHz,1200 MHz,1280 / 80 / 32,End-of-life
474,Wii U GPU,AMD,Latte,"Nov 18th, 2012",IGP,"2 GB, DDR3, 64 bit",550 MHz,800 MHz,160 / 16 / 8,End-of-life
475,FirePro 2270,AMD,Cedar,"Jan 31st, 2011",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",600 MHz,600 MHz,80 / 8 / 4,End-of-life
476,FirePro 2270 PCIe x1,AMD,Cedar,"Jan 31st, 2011",PCIe 2.0 x1,"512 MB, GDDR3, 64 bit",600 MHz,600 MHz,80 / 8 / 4,End-of-life
477,FirePro M5950,AMD,Whistler,"Jan 4th, 2011",MXM-A (3.0),"1024 MB, GDDR5, 128 bit",725 MHz,900 MHz,480 / 24 / 8,End-of-life
478,FirePro M8900,AMD,Blackcomb,"Apr 12th, 2011",MXM-B (3.0),"2 GB, GDDR5, 256 bit",680 MHz,900 MHz,960 / 48 / 32,End-of-life
479,FirePro V4900,AMD,Turks,"Nov 1st, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",800 MHz,1000 MHz,480 / 24 / 8,End-of-life
480,FirePro V5900,AMD,Cayman,"May 24th, 2011",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",600 MHz,500 MHz,512 / 32 / 32,End-of-life
481,FirePro V7900,AMD,Cayman,"May 24th, 2011",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",725 MHz,1250 MHz,1280 / 80 / 32,End-of-life
482,FirePro V7900 SDI,AMD,Cayman,"May 24th, 2011",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",725 MHz,1250 MHz,1280 / 80 / 32,End-of-life
483,Radeon E6460,AMD,Caicos,"Apr 7th, 2011",PCIe 2.0 x16,"512 MB, GDDR5, 64 bit",600 MHz,800 MHz,160 / 8 / 4,End-of-life
484,Radeon E6760 MXM,AMD,Whistler,"May 2nd, 2011",MXM-A (3.0),"1024 MB, GDDR5, 128 bit",600 MHz,800 MHz,480 / 24 / 8,End-of-life
485,Radeon E6760 PCIe,AMD,Whistler,"May 2nd, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",600 MHz,800 MHz,480 / 24 / 8,End-of-life
486,Radeon HD 6230,AMD,Park,"Jul 2nd, 2011",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",650 MHz,667 MHz,80 / 8 / 4,End-of-life
487,Radeon HD 6250,AMD,Cedar,"Jan 31st, 2011",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",650 MHz,500 MHz,80 / 8 / 4,End-of-life
488,Radeon HD 6290,AMD,Cedar,"Dec 4th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",650 MHz,800 MHz,80 / 8 / 4,End-of-life
489,Radeon HD 6290 IGP,AMD,Loveland,"Jan 7th, 2011",IGP,System Shared,276 MHz,System Shared,80 / 8 / 4,End-of-life
490,Radeon HD 6320 IGP,AMD,Loveland,"Aug 15th, 2011",IGP,System Shared,508 MHz,System Shared,80 / 8 / 4,End-of-life
491,Radeon HD 6350,AMD,Cedar,"Feb 7th, 2011",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",650 MHz,500 MHz,80 / 8 / 4,End-of-life
492,Radeon HD 6350,AMD,Park,"Feb 7th, 2011",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",650 MHz,400 MHz,80 / 8 / 4,End-of-life
493,Radeon HD 6350A,AMD,Cedar,"Apr 7th, 2011",MXM-A (3.0),"512 MB, DDR3, 64 bit",650 MHz,800 MHz,80 / 8 / 4,End-of-life
494,Radeon HD 6370D IGP,AMD,SuperSumo,"Nov 1st, 2011",IGP,System Shared,444 MHz,System Shared,160 / 8 / 4,End-of-life
495,Radeon HD 6380G IGP,AMD,SuperSumo,"Jun 14th, 2011",IGP,System Shared,400 MHz,System Shared,160 / 8 / 4,End-of-life
496,Radeon HD 6390,AMD,Redwood,"Jul 4th, 2011",PCIe 2.0 x16,"1024 MB, DDR2, 128 bit",550 MHz,500 MHz,320 / 16 / 8,End-of-life
497,Radeon HD 6410D IGP,AMD,SuperSumo,"Jun 20th, 2011",IGP,System Shared,444 MHz,System Shared,160 / 8 / 4,End-of-life
498,Radeon HD 6430M,AMD,Seymour,"Jan 4th, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",480 MHz,800 MHz,160 / 8 / 4,End-of-life
499,Radeon HD 6450,AMD,Caicos,"Apr 7th, 2011",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",625 MHz,500 MHz,160 / 8 / 4,End-of-life
500,Radeon HD 6450 OEM,AMD,Caicos,"Feb 7th, 2011",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",625 MHz,533 MHz,160 / 8 / 4,End-of-life
501,Radeon HD 6450A,AMD,Caicos,"Apr 7th, 2011",MXM-A (3.0),"512 MB, DDR3, 64 bit",625 MHz,533 MHz,160 / 8 / 4,End-of-life
502,Radeon HD 6450M,AMD,Seymour,"Jan 4th, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",600 MHz,800 MHz,160 / 8 / 4,End-of-life
503,Radeon HD 6470M,AMD,Seymour,"Jan 4th, 2011",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",700 MHz,800 MHz,160 / 8 / 4,End-of-life
504,Radeon HD 6480G IGP,AMD,Sumo,"Jun 14th, 2011",IGP,System Shared,444 MHz,System Shared,240 / 12 / 4,End-of-life
505,Radeon HD 6480G IGP,AMD,SuperSumo,"Jun 14th, 2011",IGP,System Shared,593 MHz,System Shared,160 / 8 / 4,End-of-life
506,Radeon HD 6490,AMD,Redwood,"Jul 4th, 2011",PCIe 2.0 x16,"1024 MB, DDR2, 128 bit",550 MHz,500 MHz,320 / 16 / 8,End-of-life
507,Radeon HD 6490M,AMD,Seymour,"Jan 4th, 2011",PCIe 2.0 x16,"512 MB, GDDR5, 64 bit",800 MHz,800 MHz,160 / 8 / 4,End-of-life
508,Radeon HD 6490M Mac Edition,AMD,Seymour,"May 2nd, 2011",PCIe 2.0 x16,"256 MB, GDDR5, 64 bit",750 MHz,794 MHz,160 / 8 / 4,End-of-life
509,Radeon HD 6510,AMD,Turks,"May 14th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,667 MHz,320 / 16 / 8,End-of-life
510,Radeon HD 6510,AMD,Redwood,"May 14th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,500 MHz,400 / 20 / 8,End-of-life
511,Radeon HD 6520G IGP,AMD,Sumo,"Dec 7th, 2011",IGP,System Shared,400 MHz,System Shared,320 / 16 / 8,End-of-life
512,Radeon HD 6530,AMD,Redwood,"May 14th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,600 MHz,400 / 20 / 8,End-of-life
513,Radeon HD 6530D IGP,AMD,Sumo,"Jun 20th, 2011",IGP,System Shared,444 MHz,System Shared,320 / 16 / 8,End-of-life
514,Radeon HD 6550A,AMD,Pinewood,"Feb 7th, 2011",MXM-A (3.0),"2 GB, GDDR3, 128 bit",550 MHz,800 MHz,480 / 24 / 8,End-of-life
515,Radeon HD 6550D IGP,AMD,Sumo,"Jun 20th, 2011",IGP,System Shared,600 MHz,System Shared,400 / 20 / 8,End-of-life
516,Radeon HD 6570,AMD,Turks,"Apr 19th, 2011",PCIe 2.0 x16,"2 GB, GDDR5, 128 bit",650 MHz,1000 MHz,480 / 24 / 8,End-of-life
517,Radeon HD 6570,AMD,Thames,"Feb 7th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,500 MHz,480 / 24 / 8,End-of-life
518,Radeon HD 6570 OEM,AMD,Turks,"Feb 7th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,900 MHz,480 / 24 / 8,End-of-life
519,Radeon HD 6570M,AMD,Whistler,"Apr 25th, 2011",MXM-A (3.0),"1024 MB, GDDR3, 128 bit",600 MHz,800 MHz,480 / 24 / 8,End-of-life
520,Radeon HD 6610M,AMD,Whistler,"Jan 4th, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",450 MHz,800 MHz,400 / 20 / 8,End-of-life
521,Radeon HD 6620G IGP,AMD,Sumo,"Dec 7th, 2011",IGP,System Shared,444 MHz,System Shared,400 / 20 / 8,End-of-life
522,Radeon HD 6625M,AMD,Whistler,"Jan 4th, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",450 MHz,800 MHz,480 / 20 / 8,End-of-life
523,Radeon HD 6630M,AMD,Whistler,"Jan 4th, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",500 MHz,800 MHz,480 / 24 / 8,End-of-life
524,Radeon HD 6630M Mac Edition,AMD,Whistler,"Jan 4th, 2011",PCIe 2.0 x16,"256 MB, GDDR5, 64 bit",500 MHz,600 MHz,480 / 24 / 8,End-of-life
525,Radeon HD 6650A,AMD,Onega,"Apr 19th, 2011",MXM-A (3.0),"1024 MB, DDR3, 128 bit",600 MHz,900 MHz,480 / 24 / 8,End-of-life
526,Radeon HD 6650M,AMD,Whistler,"Jan 4th, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",600 MHz,800 MHz,480 / 24 / 8,End-of-life
527,Radeon HD 6670,AMD,Turks,"Apr 19th, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",800 MHz,1000 MHz,480 / 24 / 8,End-of-life
528,Radeon HD 6670A,AMD,Turks,"Apr 19th, 2011",MXM-A (3.0),"1024 MB, GDDR5, 128 bit",600 MHz,1000 MHz,480 / 24 / 8,End-of-life
529,Radeon HD 6730M,AMD,Whistler,"Jan 4th, 2011",MXM-A (3.0),"1024 MB, GDDR3, 128 bit",725 MHz,800 MHz,480 / 24 / 8,End-of-life
530,Radeon HD 6750,AMD,Juniper,"Jan 21st, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",700 MHz,1150 MHz,720 / 36 / 16,End-of-life
531,Radeon HD 6750M,AMD,Whistler,"Jan 4th, 2011",MXM-A (3.0),"1024 MB, GDDR3, 128 bit",600 MHz,800 MHz,480 / 24 / 8,End-of-life
532,Radeon HD 6750M Mac Edition,AMD,Whistler,"Apr 18th, 2011",MXM-A (3.0),"512 MB, GDDR5, 128 bit",598 MHz,794 MHz,480 / 24 / 8,End-of-life
533,Radeon HD 6770,AMD,Juniper,"Jan 21st, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",850 MHz,1200 MHz,800 / 40 / 16,End-of-life
534,Radeon HD 6770M,AMD,Whistler,"Jan 4th, 2011",MXM-A (3.0),"1024 MB, GDDR5, 128 bit",725 MHz,900 MHz,480 / 24 / 8,End-of-life
535,Radeon HD 6770M Mac Edition,AMD,Whistler,"Jan 28th, 2011",MXM-A (3.0),"1024 MB, GDDR5, 128 bit",675 MHz,794 MHz,480 / 24 / 8,End-of-life
536,Radeon HD 6790,AMD,Barts,"Apr 4th, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",840 MHz,1050 MHz,800 / 40 / 16,End-of-life
537,Radeon HD 6830M,AMD,Granville,"Jan 4th, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",575 MHz,800 MHz,800 / 40 / 16,End-of-life
538,Radeon HD 6850 X2,AMD,Barts,"Sep 19th, 2011",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",800 MHz,1050 MHz,960 / 48 / 32,End-of-life
539,Radeon HD 6850M,AMD,Granville,"Jan 4th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",675 MHz,800 MHz,800 / 40 / 16,End-of-life
540,Radeon HD 6870 X2,AMD,Barts,"Jul 8th, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",900 MHz,1050 MHz,1120 / 56 / 32,End-of-life
541,Radeon HD 6870M,AMD,Granville,"Jan 4th, 2011",MXM-B (3.0),"1024 MB, GDDR5, 128 bit",675 MHz,1000 MHz,800 / 40 / 16,End-of-life
542,Radeon HD 6930,AMD,Cayman,"Dec 1st, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",750 MHz,1200 MHz,1280 / 80 / 32,End-of-life
543,Radeon HD 6950M,AMD,Blackcomb,"Jan 4th, 2011",MXM-B (3.0),"1024 MB, GDDR5, 256 bit",580 MHz,900 MHz,960 / 48 / 32,End-of-life
544,Radeon HD 6970 X2,AMD,Antilles,Never Released,PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",880 MHz,1375 MHz,1536 / 96 / 32,End-of-life
545,Radeon HD 6970M,AMD,Blackcomb,"Jan 4th, 2011",MXM-B (3.0),"1024 MB, GDDR5, 256 bit",680 MHz,900 MHz,960 / 48 / 32,End-of-life
546,Radeon HD 6970M Mac Edition,AMD,Blackcomb,"Aug 25th, 2011",MXM-B (3.0),"2 GB, GDDR5, 256 bit",680 MHz,900 MHz,960 / 48 / 32,End-of-life
547,Radeon HD 6970M Rebrand,AMD,Broadway,"Jan 4th, 2011",MXM-B (3.0),"1024 MB, GDDR5, 128 bit",800 MHz,1000 MHz,800 / 40 / 16,End-of-life
548,Radeon HD 6970M X2,AMD,Blackcomb,"Jan 4th, 2011",MXM-B (3.0),"2 GB, GDDR5, 256 bit",680 MHz,900 MHz,960 / 48 / 32,End-of-life
549,Radeon HD 6990,AMD,Antilles,"Mar 8th, 2011",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",830 MHz,1250 MHz,1536 / 96 / 32,End-of-life
550,Radeon HD 6990M,AMD,Blackcomb,"Jul 12th, 2011",MXM-B (3.0),"2 GB, GDDR5, 256 bit",715 MHz,900 MHz,1120 / 56 / 32,End-of-life
551,Radeon HD 6990M Rebrand,AMD,Broadway,"Jul 12th, 2011",MXM-B (3.0),"1024 MB, GDDR5, 128 bit",700 MHz,1000 MHz,800 / 40 / 16,End-of-life
552,Radeon HD 7410M,AMD,Seymour,"Jan 4th, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",480 MHz,800 MHz,160 / 8 / 4,End-of-life
553,Radeon HD 7690M,AMD,Thames,"Dec 25th, 2011",MXM-A (3.0),"1024 MB, DDR3, 128 bit",725 MHz,900 MHz,480 / 24 / 16,End-of-life
554,Radeon HD 7970,AMD,Tahiti,"Dec 22nd, 2011",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",925 MHz,1375 MHz,2048 / 128 / 32,End-of-life
555,FirePro M3900,AMD,Seymour,"Oct 19th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",750 MHz,900 MHz,160 / 8 / 4,End-of-life
556,FirePro RG220,AMD,RV711,"May 4th, 2010",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",500 MHz,800 MHz,80 / 8 / 4,End-of-life
557,FirePro RG220A,AMD,RV711,"May 4th, 2010",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",500 MHz,800 MHz,80 / 8 / 4,End-of-life
558,FireStream 9350,AMD,Cypress,"Jun 1st, 2010",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",700 MHz,1000 MHz,1440 / 72 / 32,End-of-life
559,FireStream 9370,AMD,Cypress,"Jun 23rd, 2010",PCIe 2.0 x16,"4 GB, GDDR5, 256 bit",825 MHz,1150 MHz,1600 / 80 / 32,End-of-life
560,Radeon HD 6250 IGP,AMD,Loveland,"Nov 9th, 2010",IGP,System Shared,500 MHz,System Shared,80 / 8 / 4,End-of-life
561,Radeon HD 6310 IGP,AMD,Loveland,"Nov 9th, 2010",IGP,System Shared,276 MHz,System Shared,80 / 8 / 4,End-of-life
562,Radeon HD 6310 IGP,AMD,Loveland,"Nov 9th, 2010",IGP,System Shared,488 MHz,System Shared,80 / 8 / 4,End-of-life
563,Radeon HD 6330M,AMD,Robson,"Nov 26th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",500 MHz,800 MHz,80 / 8 / 4,End-of-life
564,Radeon HD 6350M,AMD,Robson,"Nov 26th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",500 MHz,800 MHz,80 / 8 / 4,End-of-life
565,Radeon HD 6370M,AMD,Robson,"Nov 26th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",750 MHz,800 MHz,80 / 8 / 4,End-of-life
566,Radeon HD 6530M,AMD,Capilano,"Nov 26th, 2010",MXM-II,"1024 MB, DDR3, 128 bit",450 MHz,900 MHz,400 / 20 / 8,End-of-life
567,Radeon HD 6550M,AMD,Lexington,"Nov 26th, 2010",MXM-II,"1024 MB, DDR3, 128 bit",650 MHz,900 MHz,400 / 20 / 8,End-of-life
568,Radeon HD 6550M,AMD,Capilano,"Nov 26th, 2010",MXM-II,"1024 MB, DDR3, 128 bit",600 MHz,900 MHz,400 / 20 / 8,End-of-life
569,Radeon HD 6570M,AMD,Capilano,"Nov 26th, 2010",MXM-II,"1024 MB, GDDR3, 128 bit",650 MHz,800 MHz,400 / 20 / 8,End-of-life
570,Radeon HD 6850,AMD,Barts,"Oct 21st, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",775 MHz,1000 MHz,960 / 48 / 32,End-of-life
571,Radeon HD 6870,AMD,Barts,"Oct 21st, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",900 MHz,1050 MHz,1120 / 56 / 32,End-of-life
572,Radeon HD 6950,AMD,Cayman,"Dec 14th, 2010",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",800 MHz,1250 MHz,1408 / 88 / 32,End-of-life
573,Radeon HD 6970,AMD,Cayman,"Dec 14th, 2010",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",880 MHz,1375 MHz,1536 / 96 / 32,End-of-life
574,Radeon HD 6570M Mac Edition,AMD,Capilano,"Oct 28th, 2009",MXM-II,"1024 MB, GDDR3, 128 bit",600 MHz,800 MHz,400 / 20 / 8,End-of-life
575,FireStream 9250,AMD,RV770,"Jun 16th, 2008",PCIe 2.0 x16,"1024 MB, GDDR3, 256 bit",625 MHz,993 MHz,800 / 40 / 16,End-of-life
576,FireStream 9270,AMD,RV770,"Nov 13th, 2008",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",750 MHz,900 MHz,800 / 40 / 16,End-of-life
577,FireStream 9170,AMD,RV670,"Nov 8th, 2007",PCIe 2.0 x16,"2 GB, GDDR3, 256 bit",777 MHz,802 MHz,320 / 16 / 16,End-of-life
578,Stream Processor,AMD,R580,2006,PCIe 1.0 x16,"1024 MB, GDDR3, 256 bit",594 MHz,648 MHz,48 / 8 / 16 / 16,End-of-life
579,Xbox 360 E GPU,ATI,Xenos Corona,"Jun 10th, 2013",IGP,"512 MB, GDDR3, 128 bit",500 MHz,700 MHz,240 / 16 / 8,End-of-life
580,FirePro V7760,ATI,RV770,2012,PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",750 MHz,850 MHz,800 / 40 / 8,End-of-life
581,FirePro V7770,ATI,RV770,2012,PCIe 2.0 x16,"1024 MB, GDDR4, 128 bit",625 MHz,1050 MHz,800 / 40 / 8,End-of-life
582,Mobility Radeon HD 5570,ATI,Pinewood,"Nov 23rd, 2012",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",550 MHz,800 MHz,400 / 20 / 8,End-of-life
583,Radeon HD 5470,ATI,Cedar,"Feb 13th, 2012",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",650 MHz,400 MHz,80 / 8 / 4,End-of-life
584,Radeon HD 5490,ATI,Cedar,"Oct 28th, 2012",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",650 MHz,500 MHz,80 / 8 / 4,End-of-life
585,FirePro V7800P,ATI,Cypress,"May 16th, 2011",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",700 MHz,1000 MHz,1440 / 72 / 32,End-of-life
586,Radeon HD 4450,ATI,RV710,"Nov 18th, 2011",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",600 MHz,400 MHz,80 / 8 / 4,End-of-life
587,Radeon HD 4580,ATI,RV635,"Nov 20th, 2011",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",796 MHz,693 MHz,120 / 8 / 4,End-of-life
588,Radeon HD 4720,ATI,RV730,"Dec 11th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",600 MHz,667 MHz,320 / 32 / 8,End-of-life
589,Radeon HD 5530,ATI,Cedar,"Mar 17th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",650 MHz,600 MHz,80 / 8 / 4,End-of-life
590,Radeon HD 5570,ATI,Turks,"Oct 11th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,500 MHz,320 / 16 / 4,End-of-life
591,Radeon HD 5630,ATI,Redwood,"Feb 15th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,390 MHz,320 / 16 / 8,End-of-life
592,Radeon HD 5690,ATI,Redwood,"Feb 1st, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",775 MHz,1000 MHz,400 / 20 / 8,End-of-life
593,Radeon HD 5730,ATI,Redwood,"Feb 26th, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",775 MHz,1000 MHz,400 / 20 / 8,End-of-life
594,FirePro 2460 Multi-View,ATI,Cedar,"Apr 1st, 2010",PCIe 2.0 x16,"512 MB, DDR3, 256 bit",500 MHz,500 MHz,80 / 8 / 4,End-of-life
595,FirePro M5800,ATI,Madison,"Mar 1st, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",650 MHz,800 MHz,400 / 20 / 8,End-of-life
596,FirePro M7820,ATI,Broadway,"May 1st, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",700 MHz,1000 MHz,800 / 40 / 16,End-of-life
597,FirePro V3800,ATI,Redwood,"Apr 26th, 2010",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",650 MHz,900 MHz,400 / 20 / 8,End-of-life
598,FirePro V4800,ATI,Redwood,"Apr 26th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",775 MHz,900 MHz,400 / 20 / 8,End-of-life
599,FirePro V5800,ATI,Juniper,"Apr 26th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",690 MHz,1000 MHz,800 / 40 / 16,End-of-life
600,FirePro V5800 DVI,ATI,Juniper,"Apr 26th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",690 MHz,1000 MHz,800 / 40 / 16,End-of-life
601,FirePro V7800,ATI,Cypress,"Apr 26th, 2010",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",700 MHz,1000 MHz,1440 / 72 / 32,End-of-life
602,FirePro V8800,ATI,Cypress,"Apr 7th, 2010",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",825 MHz,1150 MHz,1600 / 80 / 32,End-of-life
603,FirePro V9800,ATI,Cypress,"Sep 9th, 2010",PCIe 2.0 x16,"4 GB, GDDR5, 256 bit",850 MHz,1150 MHz,1600 / 80 / 32,End-of-life
604,FirePro V9800P,ATI,Cypress,"Sep 9th, 2010",PCIe 2.0 x16,"4 GB, GDDR5, 256 bit",850 MHz,1150 MHz,1600 / 80 / 32,End-of-life
605,Mobility Radeon HD 4225 IGP,ATI,RS880,"May 1st, 2010",PCIe 1.0 x16,System Shared,380 MHz,System Shared,40 / 4 / 4,End-of-life
606,Mobility Radeon HD 4250 IGP,ATI,RS880,"May 1st, 2010",PCI,System Shared,500 MHz,System Shared,40 / 4 / 4,End-of-life
607,Mobility Radeon HD 4270 IGP,ATI,RS880,"May 1st, 2010",PCIe 1.0 x16,System Shared,590 MHz,System Shared,40 / 4 / 4,End-of-life
608,Mobility Radeon HD 4550,ATI,M93,2010,MXM-II,"512 MB, GDDR3, 64 bit",550 MHz,700 MHz,80 / 8 / 4,End-of-life
609,Mobility Radeon HD 5145,ATI,M92,"Jan 7th, 2010",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",720 MHz,900 MHz,80 / 8 / 4,End-of-life
610,Mobility Radeon HD 5165,ATI,M96,"Jan 7th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",600 MHz,800 MHz,320 / 32 / 8,End-of-life
611,Mobility Radeon HD 530v,ATI,M92,"May 5th, 2010",MXM-A (3.0),"512 MB, GDDR3, 64 bit",450 MHz,500 MHz,80 / 8 / 4,End-of-life
612,Mobility Radeon HD 530v,ATI,M93,"May 5th, 2010",MXM-A (3.0),"512 MB, GDDR3, 64 bit",450 MHz,600 MHz,80 / 8 / 4,End-of-life
613,Mobility Radeon HD 540v,ATI,M92,"May 5th, 2010",MXM-A (3.0),"512 MB, GDDR3, 64 bit",500 MHz,700 MHz,80 / 8 / 4,End-of-life
614,Mobility Radeon HD 540v,ATI,M93,"May 5th, 2010",MXM-A (3.0),"512 MB, GDDR3, 64 bit",550 MHz,800 MHz,80 / 8 / 4,End-of-life
615,Mobility Radeon HD 5430,ATI,Park,"Jan 7th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",500 MHz,800 MHz,80 / 8 / 4,End-of-life
616,Mobility Radeon HD 5450,ATI,Park,"Jan 7th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",650 MHz,667 MHz,80 / 8 / 4,End-of-life
617,Mobility Radeon HD 5450,ATI,Park,"Jan 7th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",675 MHz,800 MHz,80 / 8 / 4,End-of-life
618,Mobility Radeon HD 545v,ATI,M93,"May 5th, 2010",MXM-A (3.0),"512 MB, GDDR3, 64 bit",680 MHz,750 MHz,80 / 8 / 4,End-of-life
619,Mobility Radeon HD 545v,ATI,M92,"May 5th, 2010",MXM-A (3.0),"512 MB, GDDR3, 64 bit",720 MHz,800 MHz,80 / 8 / 4,End-of-life
620,Mobility Radeon HD 5470,ATI,Park,"Jan 7th, 2010",PCIe 2.0 x16,"512 MB, GDDR5, 64 bit",750 MHz,800 MHz,80 / 8 / 4,End-of-life
621,Mobility Radeon HD 550v,ATI,M96,"May 5th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",450 MHz,600 MHz,320 / 32 / 8,End-of-life
622,Mobility Radeon HD 560v,ATI,M96,"May 5th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",550 MHz,700 MHz,320 / 32 / 8,End-of-life
623,Mobility Radeon HD 5650,ATI,Madison,"Jan 7th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",450 MHz,800 MHz,400 / 20 / 8,End-of-life
624,Mobility Radeon HD 565v,ATI,M96,"May 5th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",675 MHz,800 MHz,320 / 32 / 8,End-of-life
