,game,release,peak_players,total_reviews,rating
358,2112TD: Tower Defense Survival,2023-01-19,332,21,81.11
359,Lost Cartridge - Cold Read,2023-12-31,15,1,81.11
360,Zedfest,2023-04-07,19,19,81.07
361,Hero's Quest: Automatic Roguelite RPG,2023-03-16,137,7,81.05
362,Belle Automata,2023-03-03,13,0,81.03
363,Takara Cards,2023-03-28,5,0,81.03
364,Chief Emoji Officer,2023-04-07,7,0,81.03
365,Pipe Dreams,2023-03-31,5,0,81.03
366,Citizens: Far Lands - Prologue,2023-03-07,145,10,81.0
367,SATUS,2023-02-10,13,2,81.0
368,Like a Dragon: Ishin!,2023-02-21,8461,437,80.98
369,Spectator,2023-02-07,16,5,80.98
370,The Wall Mustn't Fall,2023-01-09,43,1,80.92
371,The Voidness - LIDAR Horror Survival Game,2023-04-07,23,1,80.92
372,Bad cat Sam,2023-01-25,12,4,80.9
373,Lucie Adult Game HD,2023-01-10,120,9,80.88
374,X Invader: Prologue,2023-02-01,549,71,80.87
375,United heist,2023-02-12,335,124,80.86
376,Monster Girl 1 000,2023-04-02,416,3,80.84
377,Under Maintenance,2023-02-14,34,2,80.83
378,Labyrinth of Galleria: The Moon Society,2023-02-14,859,26,80.82
379,Sakura Succubus 7,2023-03-06,22,0,80.79
380,Speedonauts,2023-02-21,5,0,80.79
381,Gum Ball Run,2023-01-09,206,70,80.72
382,Lovely Crush,2023-04-10,15,1,80.72
383,The Test: Secrets of the Soul 2,2023-04-10,9,1,80.72
384,Warman,2023-04-03,26,3,80.69
385,Sorry We're Open,2023-02-18,19,2,80.66
386,Athenian Rhapsody: Thunder Goober's Personality Dungeon,2023-03-23,13,2,80.66
387,Earth's Shadow,2023-01-31,15,6,80.6
388,Cold Shell,2023-02-28,5,0,80.54
389,Oedo Trigger!!,2023-01-13,29,0,80.54
390,TeamPunk,2023-01-20,8,0,80.54
391,Museum of Monoliths,2023-02-28,3,0,80.54
392,Apex Armor Swap Trainer,2023-04-07,15,0,80.54
393,I Won't Forget Hue,2023-01-20,32,14,80.52
394,Squirrel Launcher,2023-01-31,32,14,80.52
395,HYPERBLADE,2023-02-01,9,1,80.51
396,Deflector,2023-03-24,629,32,80.49
