id,game,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
475,Zellige: The Tilemaker of Granada,2023,4,18,0,0,79.39%
476,FFF,2023,6,18,0,0,79.39%
477,Project Malice,2023,12,18,0,0,79.39%
478,呆呆大冒险,2023,20,18,0,0,79.39%
479,UnknownPyramid,2023,36,18,0,0,79.39%
480,ZaBaTa!,2023,19,18,0,0,79.39%
481,100 Keys To Your Heart,2023,3,18,0,0,79.39%
482,Hope,2023,3,18,0,0,79.39%
483,Pretend Cars Racing,2023,4,18,0,0,79.39%
484,Side Scape,2023,4,18,0,0,79.39%
485,The Castle Burns!,2023,6,18,0,0,79.39%
486,Yukiiro Sign,2023,11,18,0,0,79.39%
487,Vernal Edge,2023,208,249,41,41,79.36%
488,Locked In Mind,2023,82,244,40,40,79.36%
489,SGS Taipings,2023,89,101,13,13,79.34%
490,Belial Red,2023,218,47,4,4,79.32%
491,Project Astra Dominium,2023,12,26,1,1,79.32%
492,三國立志傳,2023,36,26,1,1,79.32%
493,The Adventures of LinShanHai,2023,13,26,1,1,79.32%
494,Chaos Galaxy 2,2023,107,171,26,26,79.31%
495,GRANDMA,2023,30,170,26,26,79.25%
496,Tropicalia,2023,14,53,5,5,79.25%
497,AlexanderBall: A Countryball Tale,2023,23,40,3,3,79.25%
498,Voltaire - The Vegan Vampire,2023,49,59,6,6,79.22%
499,Territory: Farming and Fighting,2023,122,153,23,23,79.16%
500,Redtape,2023,11,46,4,4,79.14%
501,Barista Simulator,2023,78,136,20,20,79.06%
502,Minigame Game,2023,8,17,0,0,79.05%
503,We Are Screwed!,2023,17,17,0,0,79.05%
504,Magirune 2,2023,12,17,0,0,79.05%
505,Temple of Starlight,2023,6,17,0,0,79.05%
506,Infested Fortress,2023,17,17,0,0,79.05%
507,Burg Wimmel,2023,5,17,0,0,79.05%
508,CucumbeRunner,2023,9,17,0,0,79.05%
509,Ibis AM,2023,5,17,0,0,79.05%
510,Frack the World,2023,8,17,0,0,79.05%
511,Beep's Escape,2023,5,17,0,0,79.05%
512,Spirit of Midnight: Prologue,2023,4,17,0,0,79.05%
513,Sagres,2023,145,39,3,3,79.04%
514,IDEA,2023,3,25,1,1,79.04%
515,Hentai EroCum,2023,5,25,1,1,79.04%
516,CosmoOdyssey 2: Comeback to origin,2023,3,25,1,1,79.04%
517,Meet Your Maker,2023,3308,"1,186",249,249,78.99%
518,Attic Panic,2023,19,32,2,2,78.99%
519,Doomsday Robot Girl,2023,129,135,20,20,78.98%
520,Tanks in Labyrinth,2023,40,75,9,9,78.97%
521,METAL DOGS,2023,924,578,113,113,78.95%
522,Castle Warriors,2023,45,45,4,4,78.95%
523,Elderand,2023,203,210,35,35,78.91%
524,Combat Mission: Battle for Normandy,2023,104,51,5,5,78.91%
525,Drain Mansion,2023,167,80,10,10,78.89%
526,捉妖物语2,2023,499,836,172,172,78.83%
527,Furry Sex 2,2023,8,38,3,3,78.83%
528,CUBEMATRIX,2023,24,96,13,13,78.82%
529,Arrogation: Unlight of Day,2023,43,223,38,38,78.81%
530,One Military Camp,2023,822,183,30,30,78.77%
531,Forest Fire,2023,22,44,4,4,78.75%
532,林中人,2023,9,44,4,4,78.75%
533,1997,2023,13,24,1,1,78.75%
534,Rabat Protocol:Metal Rhapsody,2023,13,24,1,1,78.75%
535,Inkulinati,2023,240,132,20,20,78.74%
536,The Survival of Sarah Rose,2023,24,31,2,2,78.74%
537,Gladiators and Glory,2023,14,31,2,2,78.74%
538,Colossal Cave,2023,35,50,5,5,78.73%
539,Atrio: The Dark Wild,2023,455,330,61,61,78.70%
540,Tebb,2023,3,16,0,0,78.69%
541,ShemHaMephorash,2023,8,16,0,0,78.69%
542,Human or Not,2023,9,16,0,0,78.69%
543,HIGhSCORE,2023,8,16,0,0,78.69%
544,GUN KING,2023,5,16,0,0,78.69%
545,The Legend of Gwen,2023,4,16,0,0,78.69%
546,Trouble in Tornado Town,2023,3,16,0,0,78.69%
547,Kill Your Shapes,2023,5,16,0,0,78.69%
548,GachaHell,2023,7,16,0,0,78.69%
549,Returnal™,2023,6691,"3,424",793,793,78.67%
550,Daydream: Prologue,2023,722,306,56,56,78.67%
551,My dream setup,2023,497,575,116,116,78.57%
552,Saint Maker,2023,40,72,9,9,78.57%
553,Escape First Alchemist,2023,161,155,25,25,78.56%
554,Artificiality-人造物-,2023,28,30,2,2,78.48%
555,Flame Keeper,2023,20,30,2,2,78.48%
556,Elfheim - Chapter 1,2023,19,30,2,2,78.48%
557,Hentai Fox,2023,7,30,2,2,78.48%
558,Rogue AI Simulator,2023,264,212,37,37,78.47%
559,ONE PIECE ODYSSEY,2023,7545,"1,589",356,356,78.45%
560,Alephant,2023,14,23,1,1,78.44%
561,Madorica Real Estate 2 - The mystery of the new property -,2023,12,23,1,1,78.44%
562,Guardians Frontline,2023,35,113,17,17,78.41%
563,Death in the Water 2,2023,344,541,110,110,78.40%
564,Ogre Chambers DX,2023,39,54,6,6,78.40%
565,The Exсrawlers,2023,15,36,3,3,78.37%
566,EXS2～EthnologySister2：Structuralism of kinship system,2023,11,36,3,3,78.37%
567,UC Love,2023,14,36,3,3,78.37%
568,丸转三国,2023,23,48,5,5,78.36%
569,Life Gallery,2023,49,142,23,23,78.32%
570,All-In-One Sports VR,2023,51,383,75,75,78.31%
571,Return to abyss 重返深渊,2023,2066,585,121,121,78.30%
572,One Giant Leap,2023,4,15,0,0,78.30%
573,Checkmate Kings,2023,5,15,0,0,78.30%
574,Operator8,2023,3,15,0,0,78.30%
575,BETA-SIXDOUZE,2023,4,15,0,0,78.30%
576,RUSHAWAY,2023,6,15,0,0,78.30%
577,超级破碎球,2023,3,15,0,0,78.30%
578,The secret pyramid VR,2023,4,15,0,0,78.30%
579,Super Video Golf,2023,6,15,0,0,78.30%
580,COSMIC HOLES,2023,3,15,0,0,78.30%
581,Anime RPG: Isekai Journey,2023,6,15,0,0,78.30%
582,可识此阵,2023,6,15,0,0,78.30%
583,Finger Football: Goal in One,2023,2,15,0,0,78.30%
584,Jigsaw Puzzle Delicious Foods,2023,4,15,0,0,78.30%
585,Vampire Story,2023,7,15,0,0,78.30%
586,9 Years of Shadows,2023,316,517,106,106,78.23%
587,Apocalyptic Vibes,2023,37,75,10,10,78.23%
588,Innchanted,2023,133,53,6,6,78.22%
589,Schildmaid MX,2023,15,29,2,2,78.21%
590,Dream Bright,2023,14,29,2,2,78.21%
591,BACKROOMS: APPREHENSION,2023,242,85,12,12,78.16%
592,Whackerball,2023,17,41,4,4,78.13%
593,Interstellar Pilot 2,2023,25,35,3,3,78.13%
594,Isle of Pan,2023,6,22,1,1,78.11%
595,Relic Space,2023,23,22,1,1,78.11%
596,COTTOn Rock'n'Roll,2023,22,22,1,1,78.11%
597,The Safe Place,2023,9,22,1,1,78.11%
598,Otome Legends,2023,5,22,1,1,78.11%
599,Alice Escaped!,2023,145,134,22,22,78.06%
600,Gachi: Christmas Party 🎄,2023,36,68,9,9,77.99%
601,Rough Justice: '84,2023,34,46,5,5,77.96%
602,Aashaa,2023,8,46,5,5,77.96%
603,Burger Bistro Story,2023,133,57,7,7,77.94%
604,Supplice,2023,112,118,19,19,77.93%
605,时灵：星辰愚者,2023,55,78,11,11,77.93%
606,Graveyard Architect,2023,6,28,2,2,77.92%
607,MeiQi 2023,2023,17,28,2,2,77.92%
608,Undead World,2023,25,28,2,2,77.92%
609,The You Testament 2D,2023,10,28,2,2,77.92%
610,yni^,2023,4,28,2,2,77.92%
611,Beyond the Wall,2023,6,28,2,2,77.92%
612,You are the weapon,2023,9,93,14,14,77.90%
613,Sexy Milfs,2023,9,34,3,3,77.88%
614,Helmetman,2023,19,34,3,3,77.88%
615,Cyber Cult City,2023,3,14,0,0,77.87%
616,天地情殇,2023,12,14,0,0,77.87%
617,Strange Town,2023,10,14,0,0,77.87%
618,The Pyraplex,2023,26,14,0,0,77.87%
619,Unforgettable Voyage,2023,4,14,0,0,77.87%
620,The Senex Bird,2023,4,14,0,0,77.87%
621,Ruined Kingdom,2023,4,14,0,0,77.87%
622,Flower Memories,2023,3,14,0,0,77.87%
623,Sky Strikers VR,2023,15,14,0,0,77.87%
624,The militant mouse,2023,4,14,0,0,77.87%
625,Crawlspace 2,2023,4,14,0,0,77.87%
626,The King of Cats,2023,5,14,0,0,77.87%
627,炸弹魔塔 Bomb Tower,2023,3,14,0,0,77.87%
628,Lawnmower Game: Find Trump,2023,3,14,0,0,77.87%
629,TrashMorfers,2023,2,14,0,0,77.87%
630,Words of Wisdom,2023,3,14,0,0,77.87%
631,Rabbi-T,2023,3,14,0,0,77.87%
632,Animalistic,2023,5,51,6,6,77.85%
633,Alien Slayers,2023,47,51,6,6,77.85%
634,DUCK: Dangerous Ultimate Cartridge Kidnapper,2023,18,67,9,9,77.84%
635,Clunky Hero,2023,19,72,10,10,77.81%
636,Kill Pill,2023,18,56,7,7,77.77%
637,Refund Me If You Can : Lexy's Story,2023,4,21,1,1,77.77%
638,The Legend of Heroes: Kuro no Kiseki,2023,139,21,1,1,77.77%
639,Meme Quiz,2023,5,21,1,1,77.77%
640,2022生存指南 2022 SURVIVAL GUIDE,2023,5,21,1,1,77.77%
641,Gummy Dummy Battles,2023,8,21,1,1,77.77%
642,ATONE: Heart of the Elder Tree,2023,12,45,5,5,77.75%
643,Ten Dates,2023,198,186,34,34,77.74%
644,GROSS,2023,99,106,17,17,77.70%
645,Ghosts Of Tabor,2023,1000,"1,144",265,265,77.68%
646,Spelp,2023,223,39,4,4,77.67%
647,Path of the Midnight Sun,2023,111,86,13,13,77.65%
648,Spikair Volleyball,2023,18,33,3,3,77.62%
649,Protect Harem City,2023,35,33,3,3,77.62%
650,Presentiment of Death,2023,5,27,2,2,77.62%
651,Taco Carlos,2023,11,27,2,2,77.62%
652,Senpai Puzzle: Waifu Summer,2023,6,27,2,2,77.62%
653,Arena Renovation,2023,306,80,12,12,77.51%
654,Crimson Dawn,2023,132,191,36,36,77.48%
655,Lunar Mirror,2023,588,623,139,139,77.45%
656,Parasomnia,2023,5,49,6,6,77.45%
657,Gachi: Space Orgasm,2023,84,94,15,15,77.44%
658,Now There Be Goblins,2023,8,38,4,4,77.43%
659,Mythlink,2023,2,13,0,0,77.41%
660,Adventures of The Carrot Captain,2023,7,13,0,0,77.41%
661,GRAPPIN,2023,6,13,0,0,77.41%
662,Kitten Hero,2023,3,13,0,0,77.41%
663,Stars Arisen,2023,52,13,0,0,77.41%
664,Super Ninja Miner,2023,2,13,0,0,77.41%
665,Frame - Portals on Steroids,2023,8,13,0,0,77.41%
666,Carnival of Gods: Oppression,2023,3,13,0,0,77.41%
667,Red List Girls.-Andean Flamingo-,2023,4,13,0,0,77.41%
668,Forklift Extreme,2023,12,13,0,0,77.41%
669,Starway: BaRaider,2023,4,13,0,0,77.41%
670,Tower Skydiver,2023,3,13,0,0,77.41%
671,Frogurai,2023,4,13,0,0,77.41%
672,Web or Dead,2023,4,13,0,0,77.41%
673,Wild Seas,2023,4,13,0,0,77.41%
674,Unusual Ghost,2023,3,13,0,0,77.41%
675,First Person Hooper,2023,3,13,0,0,77.41%
676,The House of E.,2023,5,13,0,0,77.41%
677,River Tails: Stronger Together,2023,9,20,1,1,77.40%
678,Public Land Hunter,2023,8,20,1,1,77.40%
679,Well...,2023,10,20,1,1,77.40%
680,Hentai Journey,2023,7,20,1,1,77.40%
681,Eternal Dread 3,2023,378,126,22,22,77.34%
682,Blockworks,2023,9,32,3,3,77.34%
683,Makis Adventure,2023,16,32,3,3,77.34%
684,Out Zone,2023,13,32,3,3,77.34%
685,Alkurai,2023,24,32,3,3,77.34%
686,Card Crawl Adventure,2023,21,32,3,3,77.34%
687,異境迷走,2023,37,32,3,3,77.34%
688,中华一商,2023,1137,397,85,85,77.33%
689,Nucleares,2023,33,43,5,5,77.32%
690,Rogue Station,2023,49,43,5,5,77.32%
691,Rogue Shift,2023,11,26,2,2,77.30%
692,Kill The Emperor,2023,5,26,2,2,77.30%
693,SHIRIME: The Curse of Butt-Eye,2023,9,26,2,2,77.30%
694,Phantom Brigade,2023,5671,"1,627",399,399,77.24%
695,Hot And Lovely ：Charm,2023,666,405,88,88,77.18%
696,Kingdom of EXPLORERS,2023,19,37,4,4,77.18%
697,SpellForce: Conquest of Eo,2023,3669,"1,069",256,256,77.16%
698,Soul Wargame,2023,49,101,17,17,77.15%
699,台北大空襲 Raid on Taihoku,2023,91,119,21,21,77.11%
700,三國立志傳2,2023,130,42,5,5,77.09%
701,Mato Anomalies,2023,49,72,11,11,77.07%
702,The Wraith of the Galaxy,2023,4,31,3,3,77.06%
703,Someday You'll Return: Director's Cut,2023,28,31,3,3,77.06%
704,What is snowman made of?,2023,9,47,6,6,77.04%
705,Golgotha,2023,103,400,88,88,77.01%
706,Olgob The Bold,2023,4,19,1,1,77.00%
707,RPG Stories,2023,11,19,1,1,77.00%
708,Rayland 2,2023,7,19,1,1,77.00%
709,Bad Hop Baseball,2023,6,19,1,1,77.00%
710,Volley Pals,2023,7,25,2,2,76.97%
711,Glass Heart,2023,11,25,2,2,76.97%
712,Blue Wednesday: Prologue,2023,23,25,2,2,76.97%
713,OPEN DOOR,2023,7,36,4,4,76.92%
714,Creative Console,2023,19,36,4,4,76.92%
715,Hot Heat Reset: Chapter 1,2023,42,36,4,4,76.92%
716,Don't Byte Your Tongue,2023,3,12,0,0,76.90%
717,Poly Vita,2023,5,12,0,0,76.90%
718,Kit's Quest,2023,3,12,0,0,76.90%
719,Richman 7,2023,14,12,0,0,76.90%
720,Back Rank Chess,2023,3,12,0,0,76.90%
721,Boundary Walls,2023,7,12,0,0,76.90%
722,Feed Him,2023,3,12,0,0,76.90%
723,The Lone Alien,2023,6,12,0,0,76.90%
724,CRAZY GUY,2023,3,12,0,0,76.90%
725,4 Seasons Runner,2023,4,12,0,0,76.90%
726,Bullet Runner: The First Slaughter,2023,6,12,0,0,76.90%
727,Hidden Harbor 3 Top-Down 3D,2023,2,12,0,0,76.90%
728,AColony,2023,84,61,9,9,76.85%
729,A Fox and His Robot,2023,5,41,5,5,76.85%
730,Playcraft,2023,210,557,129,129,76.83%
731,Armoured Cavalry: Operation Valkyrie,2023,15,30,3,3,76.76%
732,The Karaoke | ヒトカラ,2023,446,296,64,64,76.75%
733,Love n War: Hero by Chance II,2023,368,201,41,41,76.73%
734,Lumencraft,2023,786,671,160,160,76.68%
735,Tribe Dash,2023,25,55,8,8,76.64%
736,城市弧光,2023,6,24,2,2,76.62%
737,DEFCON: Xenos,2023,12,24,2,2,76.62%
738,Lucky Goal,2023,55,24,2,2,76.62%
739,Save The Girls,2023,6,24,2,2,76.62%
740,EL NE RUE,2023,14,24,2,2,76.62%
741,Elephantasy: Flipside,2023,13,24,2,2,76.62%
742,Turnament,2023,3,18,1,1,76.58%
743,Unprompted,2023,3,18,1,1,76.58%
744,Dream Fight Will,2023,7,18,1,1,76.58%
745,B-Horror: Subway,2023,5,18,1,1,76.58%
746,风帆纪元 Sailing Era,2023,8335,"2,333",613,613,76.56%
747,RUSLICSTAN INVADES,2023,29,78,13,13,76.56%
748,Star Survivor,2023,237,169,34,34,76.54%
749,Dinogen Online,2023,96,100,18,18,76.50%
750,Gal Guardians: Demon Purge,2023,1348,511,121,121,76.43%
751,Gatekeeper: Eclipse,2023,1133,482,114,114,76.37%
752,Pixel Survivors: Roguelike,2023,169,252,55,55,76.37%
753,Roller Drama,2023,7,11,0,0,76.34%
754,Orbital Strike VR,2023,5,11,0,0,76.34%
755,BLOOD RITE,2023,3,11,0,0,76.34%
756,SlipDream Resonator,2023,4,11,0,0,76.34%
757,You Are A Pilot,2023,4,11,0,0,76.34%
758,Gem Worlds,2023,2,11,0,0,76.34%
759,Cosmic Ball Tournament,2023,2,11,0,0,76.34%
760,Poly Skies,2023,6,11,0,0,76.34%
761,Pawsecuted,2023,5,11,0,0,76.34%
762,液化物,2023,3,11,0,0,76.34%
763,Basketball Club Story,2023,131,11,0,0,76.34%
764,EXIT The Game – Trail of the Griffin,2023,14,11,0,0,76.34%
765,Amber Trail,2023,4,11,0,0,76.34%
766,Sudden Market,2023,10,11,0,0,76.34%
767,Animal Academy,2023,4,11,0,0,76.34%
768,The Last Craftsman,2023,4,11,0,0,76.34%
769,Midnight Dash,2023,4,11,0,0,76.34%
770,Safehouse,2023,6,11,0,0,76.34%
771,A Symmetric Escape,2023,3,11,0,0,76.34%
772,The Magical Land of Canada,2023,3,11,0,0,76.34%
773,Armored Us,2023,2,11,0,0,76.34%
774,Hentai Oni,2023,4,11,0,0,76.34%
775,My Furry Dragon,2023,20,23,2,2,76.25%
776,Zero Wing,2023,10,23,2,2,76.25%
777,Hentai EroElf,2023,7,23,2,2,76.25%
778,Hole in Won,2023,12,23,2,2,76.25%
779,Sexy New Year,2023,15,23,2,2,76.25%
780,STRIPPERS,2023,14,23,2,2,76.25%
781,The Moroccan Castle 3 : Behind The Secrets,2023,4,23,2,2,76.25%
782,Anemoiapolis,2023,241,455,108,108,76.24%
783,Drago Noka,2023,357,93,17,17,76.18%
784,Gravity Field,2023,2386,228,50,50,76.14%
785,PolyShot,2023,13,17,1,1,76.13%
786,Slime Warfare,2023,17,17,1,1,76.13%
787,Sister Wish,2023,7,17,1,1,76.13%
788,Hentai Hanako,2023,5,17,1,1,76.13%
789,Grappling Dash,2023,4,28,3,3,76.12%
790,Silent Nights,2023,10,38,5,5,76.09%
791,Tristia:legacy,2023,38,33,4,4,76.08%
792,Посылка,2023,11,33,4,4,76.08%
793,Made In Ohio,2023,5,33,4,4,76.08%
794,Scrappage,2023,16,33,4,4,76.08%
795,Fantasy World Souls,2023,18,33,4,4,76.08%
796,The Last Haven,2023,429,"1,603",427,427,76.04%
797,The Last Starship,2023,329,189,41,41,75.92%
798,Gripper,2023,33,42,6,6,75.88%
799,Femdom Wife Game - Zoe,2023,26,22,2,2,75.86%
800,Pocket Harvest,2023,24,22,2,2,75.86%
801,回溯勇者 Backdate Hero,2023,9,22,2,2,75.86%
802,Maiz,2023,5,22,2,2,75.86%
803,Oxygen,2023,554,107,21,21,75.82%
804,Nayla's Castle,2023,29,37,5,5,75.82%
805,黄泉：孤岛惊魂,2023,93,299,70,70,75.80%
806,RAIDBORN,2023,121,90,17,17,75.78%
807,Chronicles of Forgotten Tears,2023,82,32,4,4,75.77%
808,The Forgotten Tapes: Analog Nightmares,2023,9,32,4,4,75.77%
809,Last Devil,2023,282,418,102,102,75.76%
810,GunnRunner,2023,6,10,0,0,75.71%
811,Alcyon Infinity,2023,4,10,0,0,75.71%
812,Mortal Meal,2023,3,10,0,0,75.71%
813,They came from another planet,2023,2,10,0,0,75.71%
814,Collab Ball,2023,6,10,0,0,75.71%
815,LiMiT's Escape Room Games 2,2023,9,10,0,0,75.71%
816,Mini Star Bakery,2023,11,10,0,0,75.71%
817,<|>,2023,2,10,0,0,75.71%
818,Monster Racing League,2023,10,10,0,0,75.71%
819,Martial Fire,2023,2,10,0,0,75.71%
820,Car Parking 2,2023,4,10,0,0,75.71%
821,Paper Flight - Beyond Time,2023,5,10,0,0,75.71%
822,Old Bira´s Farm,2023,2,10,0,0,75.71%
823,Flaming Thunderer,2023,4,10,0,0,75.71%
824,Lone Traveler,2023,3,10,0,0,75.71%
825,Tracadie Bird Shit,2023,2,10,0,0,75.71%
826,Ara and the Empty Universe,2023,3,10,0,0,75.71%
827,Alien Battlefield,2023,2,10,0,0,75.71%
828,Tide Girl: Phenomena,2023,3,10,0,0,75.71%
829,Best Pearl,2023,3,10,0,0,75.71%
830,Crazy Clown,2023,3,10,0,0,75.71%
831,Grounded Sim: Steam Edition,2023,2,10,0,0,75.71%
832,Sally Can't Sleep,2023,9,10,0,0,75.71%
833,Before The Green Moon,2023,7,10,0,0,75.71%
834,SKIP,2023,4,10,0,0,75.71%
835,SEX × HEX,2023,8,10,0,0,75.71%
836,Archery Simulator,2023,3,16,1,1,75.64%
837,AI Stories,2023,4,16,1,1,75.64%
838,Violet Wisteria,2023,5,16,1,1,75.64%
839,Spy Bros. (Pipi & Bibi's DX),2023,7,16,1,1,75.64%
840,Weekend Warriors MMA,2023,13,16,1,1,75.64%
841,Extra Lives,2023,8,16,1,1,75.64%
842,学園ハンサムFighters,2023,12,16,1,1,75.64%
843,Second Front,2023,351,318,76,76,75.63%
844,恶魔酱的五日恶戏,2023,14,41,6,6,75.62%
845,异世界的城主大人,2023,171,215,49,49,75.58%
846,Beaver Clicker,2023,61,36,5,5,75.53%
847,Idle Simple RPG,2023,261,36,5,5,75.53%
848,Undisputed,2023,7433,"5,254","1,536","1,536",75.46%
849,Cursed Mansion,2023,5,31,4,4,75.46%
850,Pixel Town: Akanemachi Mystery,2023,66,31,4,4,75.46%
851,Uragun,2023,52,108,22,22,75.45%
852,WWE 2K23,2023,6535,"1,152",313,313,75.44%
853,Hexrogue,2023,28,21,2,2,75.44%
854,Tick Tack Puppet,2023,90,21,2,2,75.44%
855,Mystic Gate,2023,17,21,2,2,75.44%
856,仙界之剑 仙王少女战记,2023,31,21,2,2,75.44%
857,Forrest of Frequencies,2023,4,21,2,2,75.44%
858,The Crown of Wu,2023,11,26,3,3,75.41%
859,Predictors,2023,11,26,3,3,75.41%
860,Ortharion : The Last Battle Prologue,2023,27,26,3,3,75.41%
861,Hentai SportsGirl,2023,6,26,3,3,75.41%
862,Napoleon Maiden ~A maiden without the word impossible~,2023,12,40,6,6,75.36%
863,富甲天下3,2023,648,234,55,55,75.35%
864,The Escape: Together,2023,69,196,45,45,75.33%
865,Cyclo Chambers,2023,127,66,12,12,75.33%
866,Scars Above,2023,330,369,92,92,75.31%
867,The Obscura Experiment,2023,30,53,9,9,75.29%
868,Writer's Life,2023,143,390,98,98,75.28%
869,Corpse Keeper,2023,1007,706,188,188,75.23%
870,The True Love Rings,2023,75,285,70,70,75.12%
871,The Art of War: Card Game,2023,14,30,4,4,75.12%
872,Ragdoll: Fall and Destroy,2023,6,30,4,4,75.12%
873,Punch A Bunch,2023,219,488,127,127,75.10%
874,Johnny Chainsaw,2023,8,15,1,1,75.10%
875,There Will Be Ink,2023,8,15,1,1,75.10%
876,Undeadly,2023,16,15,1,1,75.10%
877,Aery VR - Little Bird Adventure,2023,4,15,1,1,75.10%
878,Twin Cobra,2023,21,15,1,1,75.10%
879,Last Kids on Earth: Hit the Deck!,2023,6,15,1,1,75.10%
880,Land of Towers,2023,4,15,1,1,75.10%
881,光明王传说,2023,6,15,1,1,75.10%
882,Notes of the Young Lady: In Turbulent Times,2023,18,15,1,1,75.10%
883,Manga Maker's Mega Milkers,2023,9,15,1,1,75.10%
884,2D Dawg 2,2023,49,97,20,20,75.08%
885,Touge Shakai,2023,176,207,49,49,75.05%
886,Save the Earth ECO inc.,2023,33,56,10,10,75.02%
887,Hotel Renovator,2023,2503,874,240,240,75.01%
888,Ball laB 2,2023,3,9,0,0,75.00%
889,Hentai Series,2023,3,9,0,0,75.00%
890,Hero Team,2023,82,9,0,0,75.00%
891,New Roots,2023,3,9,0,0,75.00%
892,Battle Tracks,2023,4,9,0,0,75.00%
893,Rise of Fox Hero,2023,5,9,0,0,75.00%
894,Knight And Mourning,2023,7,9,0,0,75.00%
895,My Landlord is a Futanari,2023,3,9,0,0,75.00%
896,The Exile of Aphrodisia (2023),2023,34,9,0,0,75.00%
897,Flowa,2023,5,9,0,0,75.00%
898,Long Dream,2023,66,9,0,0,75.00%
899,Forests  Fields and Fortresses,2023,11,9,0,0,75.00%
900,Tropical Resort Story,2023,113,9,0,0,75.00%
901,The Helper,2023,1,9,0,0,75.00%
902,Full Gear,2023,4,9,0,0,75.00%
903,名媛模拟器,2023,5,9,0,0,75.00%
904,The Last Hair,2023,5,9,0,0,75.00%
905,Strip Fighter ZERO,2023,9,9,0,0,75.00%
906,Pretty Dinosaur Adventures of Ancient Earth VR,2023,1,9,0,0,75.00%
907,Brazen Thief,2023,3,9,0,0,75.00%
908,Infinite Mirror,2023,3,9,0,0,75.00%
909,勇士末路 The End of Warriors,2023,6,9,0,0,75.00%
910,Yellow History,2023,3,9,0,0,75.00%
911,小白的保卫战 Xiaobai's defense war,2023,2,9,0,0,75.00%
912,Dare To Spread,2023,5,9,0,0,75.00%
913,BadMan,2023,4,9,0,0,75.00%
914,Fateweaver: Smash or Pass,2023,7,9,0,0,75.00%
915,The Devilry Reservation,2023,2,9,0,0,75.00%
916,Not Anyone's Business But My Own,2023,3,9,0,0,75.00%
917,Glory Room,2023,3,9,0,0,75.00%
918,Around The World,2023,5,20,2,2,74.99%
919,OutWave,2023,5,20,2,2,74.99%
920,Naive Riri,2023,9,20,2,2,74.99%
921,Dungeons of Aether,2023,565,257,63,63,74.98%
922,Midnight Scenes: From the Woods,2023,14,64,12,12,74.96%
923,Winning Post 10,2023,5115,51,9,9,74.85%
924,Demon Queen Melissa,2023,189,55,10,10,74.81%
925,Clarent Saga: Chronicles,2023,4,29,4,4,74.78%
926,Steelborn,2023,19,46,8,8,74.65%
927,Engine Evolution 2022,2023,168,568,155,155,74.63%
928,GRUNND,2023,13,24,3,3,74.63%
929,Inward,2023,12,24,3,3,74.63%
930,T.D.Z. 3 Dark Way of Stalker,2023,7,24,3,3,74.63%
931,inziva,2023,26,24,3,3,74.63%
932,Scrap Riders,2023,5,14,1,1,74.53%
933,They Came From the Sky 2,2023,4,14,1,1,74.53%
934,Crystal Riders VR,2023,2,14,1,1,74.53%
935,Mayhem Heroes,2023,4,14,1,1,74.53%
936,Nixxsz Castle,2023,4,14,1,1,74.53%
937,Life is Pain,2023,3,14,1,1,74.53%
938,Hentai Festival,2023,4,14,1,1,74.53%
939,Hentai Snowy,2023,6,14,1,1,74.53%
940,MITE,2023,6,37,6,6,74.51%
941,Onion Assault,2023,5,19,2,2,74.51%
942,Cockroach Simulator house of survive,2023,4,19,2,2,74.51%
943,人形限界,2023,40,19,2,2,74.51%
944,Kitchen Chaos,2023,9,19,2,2,74.51%
945,Little Monki,2023,5,19,2,2,74.51%
946,Back To Ashes,2023,8,85,18,18,74.49%
947,Lovebirb,2023,32,81,17,17,74.47%
948,Filthy Animals | Heist Simulator,2023,496,73,15,15,74.42%
949,Disfigure: Prologue,2023,43,28,4,4,74.41%
950,Kowloon's Curse: Lost Report,2023,11,45,8,8,74.40%
951,Queen's Brothel,2023,126,61,12,12,74.38%
952,The Magical Mixture Mill,2023,282,57,11,11,74.37%
953,3001: A MILF Odyssey,2023,61,53,10,10,74.37%
954,The Ouroboros King,2023,160,72,15,15,74.25%
955,SEX with HITLER: 2069,2023,71,87,19,19,74.22%
956,Gatedelvers,2023,33,36,6,6,74.20%
957,Blinded by Fear,2023,6,23,3,3,74.20%
958,An Adventurer's Gallantry,2023,4,8,0,0,74.19%
959,Walthros: Renewal,2023,3,8,0,0,74.19%
960,Rooftop Renegade,2023,5,8,0,0,74.19%
961,VRNOID,2023,3,8,0,0,74.19%
962,Moxie's Lemon,2023,2,8,0,0,74.19%
963,Blue Fish Yokohama,2023,3,8,0,0,74.19%
964,Ghosted,2023,4,8,0,0,74.19%
965,An Architect's Adventure,2023,6,8,0,0,74.19%
966,Defend from Candyland!,2023,2,8,0,0,74.19%
967,Hotdog Quest: One With Everything,2023,2,8,0,0,74.19%
968,DC's Justice League: Cosmic Chaos,2023,13,8,0,0,74.19%
969,Jigsaw Puzzles Infinite,2023,17,8,0,0,74.19%
970,Code Rivals,2023,6,8,0,0,74.19%
971,Boulette Hell,2023,2,8,0,0,74.19%
972,DOWNFALLEN,2023,2,8,0,0,74.19%
973,Putin Destroys Alien,2023,2,8,0,0,74.19%
974,Chibi Ninja Shino-kun: Treasure of Demon Tower,2023,2,8,0,0,74.19%
975,Chess Morph: The Queen's Wormholes,2023,2,8,0,0,74.19%
976,幻境咖啡馆,2023,3,8,0,0,74.19%
