id,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
317,Joshua's Legs,/app/1934330/,Jan 18 2023,5,27,0,0,81.66%
318,QUALIA ~The Path of Promise~,/app/1938120/,Feb 3 2023,12,27,0,0,81.66%
319,Joe Wander,/app/2063310/,Feb 3 2023,12,27,0,0,81.66%
320,不可思异世界,/app/2073140/,Jan 17 2023,10,27,0,0,81.66%
321,"Luckily, My Arm Is A Shotgun",/app/2272770/,Feb 22 2023,3,27,0,0,81.66%
322,Hydrofoil Generation,/app/1448820/,Feb 16 2023,39,37,1,1,81.65%
323,Ballistic Zen,/app/1966930/,Jan 25 2023,9,37,1,1,81.65%
324,Wall World,/app/2187290/,Apr 5 2023,"4,403",924,150,150,81.63%
325,Wander Hero,/app/1741400/,Jan 12 2023,851,499,74,74,81.61%
326,Terra Nil,/app/1593030/,Mar 28 2023,"5,916","1,732",305,305,81.49%
327,UnderDungeon,/app/850760/,Jan 13 2023,7,45,2,2,81.48%
328,Forrader Hero,/app/2056490/,Jan 23 2023,28,45,2,2,81.48%
329,Forest Of Relics,/app/2235500/,Jan 25 2023,10,45,2,2,81.48%
330,Helvetii,/app/1094590/,Feb 3 2023,21,36,1,1,81.47%
331,Deadnaut: Signal Lost,/app/1801410/,Mar 28 2023,56,36,1,1,81.47%
332,Mythargia,/app/2022470/,Feb 20 2023,7,26,0,0,81.46%
333,FUR Squadron,/app/2269980/,Mar 16 2023,5,26,0,0,81.46%
334,Iron Mandate,/app/2198030/,Mar 11 2023,42,69,5,5,81.45%
335,Dice Kingdoms,/app/1501690/,Apr 3 2023,110,53,3,3,81.42%
336,Ancient Saga: Vikings Journey - Resource Management Simulator,/app/2307690/,Mar 10 2023,20,53,3,3,81.42%
337,Puppet Master: The Game,/app/1757610/,Mar 1 2023,249,293,40,40,81.38%
338,SpaceBourne 2,/app/1646850/,Feb 17 2023,"1,241","1,384",241,241,81.37%
339,The Wreck,/app/1687960/,Mar 14 2023,20,68,5,5,81.34%
340,Paperback Adventures,/app/2095080/,Jan 30 2023,22,44,2,2,81.33%
341,Digimon World: Next Order,/app/1530160/,Feb 21 2023,"1,685",429,64,64,81.30%
342,World Of Mystery,/app/2194400/,Jan 8 2023,362,117,12,12,81.30%
343,Toy Tactics,/app/1772530/,Mar 17 2023,12,35,1,1,81.30%
344,Star Ring,/app/2098070/,Jan 20 2023,38,52,3,3,81.29%
345,山海灵妖录,/app/2267740/,Mar 3 2023,362,434,65,65,81.28%
346,Tactical Assault VR,/app/2314160/,Mar 27 2023,185,278,38,38,81.27%
347,The Director's Disorder: Pilot Episode,/app/2073640/,Jan 19 2023,57,162,19,19,81.26%
348,Agent in Depth,/app/2096080/,Jan 20 2023,20,103,10,10,81.26%
349,Buildest,/app/1565210/,Mar 24 2023,10,25,0,0,81.25%
350,BLACK★ACADEMY,/app/1602390/,Mar 17 2023,11,25,0,0,81.25%
351,No:Worse,/app/2124070/,Mar 16 2023,6,25,0,0,81.25%
352,Konkan Coast Pirate Solutions,/app/2156410/,Mar 1 2023,6,25,0,0,81.25%
353,I commissioned some cats,/app/2300390/,Feb 16 2023,11,25,0,0,81.25%
354,September 7th,/app/2249160/,Jan 6 2023,149,808,134,134,81.22%
355,Magic Research,/app/2311680/,Mar 23 2023,"1,109",59,4,4,81.17%
356,Shiner,/app/2338850/,Mar 18 2023,28,59,4,4,81.17%
357,Nienix,/app/1332760/,Mar 24 2023,352,179,22,22,81.15%
358,2112TD: Tower Defense Survival,/app/2223590/,Jan 19 2023,332,172,21,21,81.11%
359,Lost Cartridge - Cold Read,/app/2171310/,Dec 31 2023,15,34,1,1,81.11%
360,Zedfest,/app/1037080/,Apr 7 2023,19,159,19,19,81.07%
361,Hero's Quest: Automatic Roguelite RPG,/app/1641240/,Mar 16 2023,137,80,7,7,81.05%
362,Belle Automata,/app/1814230/,Mar 3 2023,13,24,0,0,81.03%
363,Takara Cards,/app/1932210/,Mar 28 2023,5,24,0,0,81.03%
364,Chief Emoji Officer,/app/2287350/,Apr 7 2023,7,24,0,0,81.03%
365,Pipe Dreams,/app/2327670/,Mar 31 2023,5,24,0,0,81.03%
366,Citizens: Far Lands - Prologue,/app/2182110/,Mar 7 2023,145,100,10,10,81.00%
367,SATUS,/app/2077060/,Feb 10 2023,13,42,2,2,81.00%
368,Like a Dragon: Ishin!,/app/1805480/,Feb 21 2023,"8,461","2,315",437,437,80.98%
369,Spectator,/app/2132450/,Feb 7 2023,16,65,5,5,80.98%
370,The Wall Mustn't Fall,/app/2139440/,Jan 9 2023,43,33,1,1,80.92%
371,The Voidness - LIDAR Horror Survival Game,/app/2276850/,Apr 7 2023,23,33,1,1,80.92%
372,Bad cat Sam,/app/2256230/,Jan 25 2023,12,57,4,4,80.90%
373,Lucie Adult Game HD,/app/1938630/,Jan 10 2023,120,92,9,9,80.88%
374,X Invader: Prologue,/app/2214500/,Feb 1 2023,549,451,71,71,80.87%
375,United heist,/app/2119740/,Feb 12 2023,335,732,124,124,80.86%
376,"Monster Girl 1,000",/app/2351970/,Apr 2 2023,416,49,3,3,80.84%
377,Under Maintenance,/app/2274430/,Feb 14 2023,34,41,2,2,80.83%
378,Labyrinth of Galleria: The Moon Society,/app/1998340/,Feb 14 2023,859,197,26,26,80.82%
379,Sakura Succubus 7,/app/2021710/,Mar 6 2023,22,23,0,0,80.79%
380,Speedonauts,/app/2064700/,Feb 21 2023,5,23,0,0,80.79%
381,Gum Ball Run,/app/2124930/,Jan 9 2023,206,440,70,70,80.72%
382,Lovely Crush,/app/2248580/,Apr 10 2023,15,32,1,1,80.72%
383,The Test: Secrets of the Soul 2,/app/2349550/,Apr 10 2023,9,32,1,1,80.72%
384,Warman,/app/887420/,Apr 3 2023,26,48,3,3,80.69%
385,Sorry We're Open,/app/2161450/,Feb 18 2023,19,40,2,2,80.66%
386,Athenian Rhapsody: Thunder Goober's Personality Dungeon,/app/2202710/,Mar 23 2023,13,40,2,2,80.66%
387,Earth's Shadow,/app/1655940/,Jan 31 2023,15,69,6,6,80.60%
388,Cold Shell,/app/1080680/,Feb 28 2023,5,22,0,0,80.54%
389,Oedo Trigger!!,/app/2236900/,Jan 13 2023,29,22,0,0,80.54%
390,TeamPunk,/app/2251080/,Jan 20 2023,8,22,0,0,80.54%
391,Museum of Monoliths,/app/2255120/,Feb 28 2023,3,22,0,0,80.54%
392,Apex Armor Swap Trainer,/app/2334340/,Apr 7 2023,15,22,0,0,80.54%
393,I Won't Forget Hue,/app/2236880/,Jan 20 2023,32,120,14,14,80.52%
394,Squirrel Launcher,/app/2254490/,Jan 31 2023,32,120,14,14,80.52%
395,HYPERBLADE,/app/1834740/,Feb 1 2023,9,31,1,1,80.51%
396,Deflector,/app/1736550/,Mar 24 2023,629,225,32,32,80.49%
397,Family curse,/app/2166640/,Mar 31 2023,23,39,2,2,80.48%
398,Horde Hunters,/app/2178560/,Feb 16 2023,47,39,2,2,80.48%
399,Bone Dust,/app/2247640/,Feb 21 2023,13,54,4,4,80.47%
400,LUNARK,/app/1050370/,Mar 30 2023,57,94,10,10,80.44%
401,Undead Horde 2: Necropolis,/app/2065810/,Mar 30 2023,839,177,24,24,80.36%
402,The Beast In The Cave,/app/1711600/,Feb 7 2023,21,46,3,3,80.36%
403,The Fernweh Saga: Book One,/app/2182590/,Jan 5 2023,114,67,6,6,80.34%
404,Nope Nope Nope Nurses,/app/2261240/,Jan 20 2023,20,53,4,4,80.32%
405,bearcycle,/app/1932590/,Mar 3 2023,11,30,1,1,80.30%
406,Wet Sand,/app/2198830/,Jan 6 2023,9,30,1,1,80.30%
407,Keep the Keep,/app/1126110/,Mar 15 2023,4,21,0,0,80.28%
408,First Racer,/app/1364690/,Apr 5 2023,10,21,0,0,80.28%
409,Super Greedy Cat,/app/2127920/,Mar 29 2023,4,21,0,0,80.28%
410,Endless Nesla,/app/2260540/,Jan 24 2023,4,21,0,0,80.28%
411,메스가키 영애님!,/app/2269750/,Jan 20 2023,22,66,6,6,80.21%
412,远征三国-策略卡牌,/app/2249520/,Feb 17 2023,49,104,12,12,80.20%
413,The Simulacrum,/app/2263510/,Jan 17 2023,16,45,3,3,80.19%
414,Germinal,/app/1967940/,Mar 9 2023,10,37,2,2,80.09%
415,Offroad Mechanic Simulator: Prologue - First Job,/app/2260130/,Apr 3 2023,58,37,2,2,80.09%
416,三国真龙传,/app/2288210/,Feb 13 2023,12,37,2,2,80.09%
417,GunSoul Girl 2,/app/1948700/,Mar 30 2023,180,370,61,61,80.08%
418,Research Story,/app/1629830/,Feb 21 2023,96,65,6,6,80.08%
419,Hellscreen,/app/1410090/,Mar 9 2023,7,29,1,1,80.07%
420,Conur Life,/app/1888330/,Mar 6 2023,7,29,1,1,80.07%
421,A TAVERN FOR TEA,/app/2319470/,Mar 24 2023,8,29,1,1,80.07%
422,Verlet Ascend,/app/2113120/,Feb 28 2023,20,58,5,5,80.04%
423,Land of the Mage Lords,/app/2069220/,Jan 29 2023,18,51,4,4,80.01%
424,Joon Shining,/app/1552600/,Feb 17 2023,3,20,0,0,80.00%
425,Elohim Eternal: The Babel Code,/app/1757890/,Jan 30 2023,9,20,0,0,80.00%
426,Heartwood Heroes,/app/1866120/,Mar 27 2023,43,20,0,0,80.00%
427,"The Overlord Isn't Another Isekai Protagonist, Is He?",/app/1945540/,Feb 17 2023,8,20,0,0,80.00%
428,奇谭文字游戏,/app/2078830/,Feb 9 2023,9,20,0,0,80.00%
429,SokoChess White,/app/2185860/,Mar 3 2023,8,20,0,0,80.00%
430,Shooting Saucer,/app/2256360/,Apr 6 2023,11,20,0,0,80.00%
431,Hood Warfare,/app/2274510/,Jan 26 2023,25,64,6,6,79.95%
432,Dark Chess,/app/1151130/,Feb 28 2023,27,101,12,12,79.92%
433,Socrates Jones: Pro Philosopher,/app/2120060/,Mar 28 2023,15,36,2,2,79.89%
434,Striving for Light: Survival,/app/2286450/,Feb 20 2023,55,50,4,4,79.84%
435,BDSM Love,/app/2233870/,Jan 6 2023,10,43,3,3,79.83%
436,Finding Xavier,/app/2254210/,Jan 20 2023,5,43,3,3,79.83%
437,Snafu,/app/2298080/,Mar 8 2023,11,43,3,3,79.83%
438,WHALIEN - Unexpected Guests,/app/1270680/,Jan 24 2023,9,28,1,1,79.83%
439,Re:Call,/app/1561380/,Jan 17 2023,13,28,1,1,79.83%
440,Fairy Biography3 : Obsession,/app/2272050/,Mar 24 2023,166,167,24,24,79.74%
441,《奇门遁甲》,/app/2249830/,Jan 1 2023,137,172,25,25,79.72%
442,The Legend of Heroes: Kuro no Kiseki Ⅱ -CRIMSON SiN-,/app/2113920/,Jan 25 2023,"1,071",313,52,52,79.71%
443,Drakkar Crew,/app/879050/,Mar 27 2023,9,19,0,0,79.71%
444,Asfalia,/app/1675040/,Jan 23 2023,5,19,0,0,79.71%
445,Mega Mall Story 2,/app/1983700/,Mar 6 2023,67,19,0,0,79.71%
446,Linked Worlds,/app/2015360/,Mar 29 2023,10,19,0,0,79.71%
447,FAKE HEART,/app/2109360/,Mar 25 2023,9,19,0,0,79.71%
448,Memory Traces: Egypt,/app/2150580/,Feb 17 2023,6,19,0,0,79.71%
449,Brick Odyssey,/app/2211110/,Jan 25 2023,14,19,0,0,79.71%
450,Wind Up,/app/2213340/,Jan 12 2023,27,19,0,0,79.71%
451,Logic - Keypad,/app/2265160/,Mar 10 2023,3,19,0,0,79.71%
452,Ashes of War,/app/2265610/,Jan 27 2023,6,19,0,0,79.71%
453,Endless Dark,/app/2290890/,Feb 22 2023,6,19,0,0,79.71%
454,TRAUMA Broken Paradise,/app/2303950/,Mar 3 2023,4,19,0,0,79.71%
455,降妖散记,/app/1915510/,Apr 3 2023,883,272,44,44,79.70%
456,District Steel,/app/616820/,Feb 16 2023,8,35,2,2,79.68%
457,No Questions Asked,/app/2259180/,Jan 9 2023,4,35,2,2,79.68%
458,幻斋阴阳录 Genzai:Serialization,/app/2180350/,Jan 20 2023,45,110,14,14,79.66%
459,Mr. Hopp's Playhouse 3,/app/2176450/,Mar 17 2023,38,42,3,3,79.65%
460,Tokyo Necro,/app/2183070/,Mar 13 2023,76,68,7,7,79.62%
461,Spellmasons,/app/1618380/,Jan 31 2023,127,92,11,11,79.61%
462,The Tales of Bayun,/app/1935470/,Feb 16 2023,41,86,10,10,79.60%
463,Story of Animal Sprite,/app/2301850/,Apr 7 2023,26,27,1,1,79.58%
464,Black Reliquary,/app/2119270/,Mar 24 2023,542,247,40,40,79.51%
465,Within The Backrooms,/app/2158740/,Jan 13 2023,9,34,2,2,79.46%
466,Potion Brew: Co-op,/app/2226750/,Jan 5 2023,14,34,2,2,79.46%
467,Webcam Sex,/app/2258010/,Jan 20 2023,9,34,2,2,79.46%
468,Drop - System Breach,/app/1902300/,Mar 28 2023,54,41,3,3,79.45%
469,Chef Life: A Restaurant Simulator,/app/1122340/,Feb 23 2023,840,476,87,87,79.42%
470,Painting Werther,/app/1434260/,Feb 14 2023,4,18,0,0,79.39%
471,Palette Swap,/app/1697590/,Jan 21 2023,4,18,0,0,79.39%
472,Bullet Casters,/app/1838490/,Mar 28 2023,8,18,0,0,79.39%
473,За Закатом Неминуем Рассвет,/app/2069920/,Mar 31 2023,6,18,0,0,79.39%
474,Kairobotica,/app/2072150/,Jan 16 2023,21,18,0,0,79.39%
475,Zellige: The Tilemaker of Granada,/app/2100390/,Feb 17 2023,4,18,0,0,79.39%
476,FFF,/app/2139620/,Feb 14 2023,6,18,0,0,79.39%
477,Project Malice,/app/2157060/,Jan 20 2023,12,18,0,0,79.39%
478,呆呆大冒险,/app/2166910/,Feb 22 2023,20,18,0,0,79.39%
479,UnknownPyramid,/app/2188790/,Feb 22 2023,36,18,0,0,79.39%
480,ZaBaTa!,/app/2216090/,Mar 28 2023,19,18,0,0,79.39%
481,100 Keys To Your Heart,/app/2237350/,Jan 16 2023,3,18,0,0,79.39%
482,Hope,/app/2252550/,Jan 27 2023,3,18,0,0,79.39%
483,Pretend Cars Racing,/app/2269280/,Mar 8 2023,4,18,0,0,79.39%
484,Side Scape,/app/2280510/,Jan 27 2023,4,18,0,0,79.39%
485,The Castle Burns!,/app/2302960/,Mar 3 2023,6,18,0,0,79.39%
486,Yukiiro Sign,/app/2307160/,Mar 24 2023,11,18,0,0,79.39%
487,Vernal Edge,/app/1546710/,Mar 14 2023,208,249,41,41,79.36%
488,Locked In Mind,/app/2252820/,Jan 4 2023,82,244,40,40,79.36%
489,SGS Taipings,/app/1519060/,Jan 19 2023,89,101,13,13,79.34%
490,Belial Red,/app/2201230/,Mar 11 2023,218,47,4,4,79.32%
491,Project Astra Dominium,/app/2228210/,Mar 29 2023,12,26,1,1,79.32%
492,三國立志傳,/app/2261090/,Jan 10 2023,36,26,1,1,79.32%
493,The Adventures of LinShanHai,/app/2283690/,Feb 1 2023,13,26,1,1,79.32%
494,Chaos Galaxy 2,/app/1537910/,Jan 6 2023,107,171,26,26,79.31%
495,GRANDMA,/app/1727550/,Jan 7 2023,30,170,26,26,79.25%
496,Tropicalia,/app/1375760/,Feb 28 2023,14,53,5,5,79.25%
497,AlexanderBall: A Countryball Tale,/app/1944660/,Jan 20 2023,23,40,3,3,79.25%
498,Voltaire - The Vegan Vampire,/app/1952540/,Feb 27 2023,49,59,6,6,79.22%
499,Territory: Farming and Fighting,/app/1455910/,Jan 12 2023,122,153,23,23,79.16%
500,Redtape,/app/2184230/,Feb 14 2023,11,46,4,4,79.14%
501,Barista Simulator,/app/1694510/,Jan 12 2023,78,136,20,20,79.06%
502,Minigame Game,/app/305900/,Feb 3 2023,8,17,0,0,79.05%
503,We Are Screwed!,/app/1125830/,Mar 1 2023,17,17,0,0,79.05%
504,Magirune 2,/app/1677020/,Jan 11 2023,12,17,0,0,79.05%
505,Temple of Starlight,/app/1970050/,Jan 24 2023,6,17,0,0,79.05%
506,Infested Fortress,/app/2060230/,Mar 2 2023,17,17,0,0,79.05%
507,Burg Wimmel,/app/2142170/,Mar 6 2023,5,17,0,0,79.05%
508,CucumbeRunner,/app/2228350/,Mar 6 2023,9,17,0,0,79.05%
509,Ibis AM,/app/2251540/,Feb 17 2023,5,17,0,0,79.05%
510,Frack the World,/app/2256900/,Mar 1 2023,8,17,0,0,79.05%
511,Beep's Escape,/app/2286990/,Feb 16 2023,5,17,0,0,79.05%
512,Spirit of Midnight: Prologue,/app/2290650/,Feb 9 2023,4,17,0,0,79.05%
513,Sagres,/app/2120310/,Apr 3 2023,145,39,3,3,79.04%
514,IDEA,/app/1873870/,Mar 9 2023,3,25,1,1,79.04%
515,Hentai EroCum,/app/2283930/,Feb 24 2023,5,25,1,1,79.04%
516,CosmoOdyssey 2: Comeback to origin,/app/2299890/,Feb 17 2023,3,25,1,1,79.04%
517,Meet Your Maker,/app/1194810/,Apr 4 2023,"3,308","1,186",249,249,78.99%
518,Attic Panic,/app/2168760/,Mar 29 2023,19,32,2,2,78.99%
519,Doomsday Robot Girl,/app/1870310/,Jan 10 2023,129,135,20,20,78.98%
520,Tanks in Labyrinth,/app/1440360/,Feb 3 2023,40,75,9,9,78.97%
521,METAL DOGS,/app/1036740/,Mar 24 2023,924,578,113,113,78.95%
522,Castle Warriors,/app/2135320/,Feb 23 2023,45,45,4,4,78.95%
523,Elderand,/app/1413660/,Feb 16 2023,203,210,35,35,78.91%
524,Combat Mission: Battle for Normandy,/app/2297010/,Mar 28 2023,104,51,5,5,78.91%
525,Drain Mansion,/app/1888070/,Mar 9 2023,167,80,10,10,78.89%
526,捉妖物语2,/app/2158500/,Jan 18 2023,499,836,172,172,78.83%
527,Furry Sex 2,/app/2233850/,Jan 13 2023,8,38,3,3,78.83%
528,CUBEMATRIX,/app/2158600/,Jan 27 2023,24,96,13,13,78.82%
529,Arrogation: Unlight of Day,/app/2113530/,Jan 28 2023,43,223,38,38,78.81%
530,One Military Camp,/app/1743830/,Mar 2 2023,822,183,30,30,78.77%
531,Forest Fire,/app/2242220/,Jan 10 2023,22,44,4,4,78.75%
532,林中人,/app/2244320/,Jan 29 2023,9,44,4,4,78.75%
533,1997,/app/2013120/,Mar 30 2023,13,24,1,1,78.75%
534,Rabat Protocol:Metal Rhapsody,/app/2187130/,Mar 25 2023,13,24,1,1,78.75%
535,Inkulinati,/app/957960/,Jan 31 2023,240,132,20,20,78.74%
536,The Survival of Sarah Rose,/app/2166470/,Jan 19 2023,24,31,2,2,78.74%
537,Gladiators and Glory,/app/2202690/,Mar 3 2023,14,31,2,2,78.74%
538,Colossal Cave,/app/2215540/,Jan 19 2023,35,50,5,5,78.73%
539,Atrio: The Dark Wild,/app/1125390/,Jan 10 2023,455,330,61,61,78.70%
540,Tebb,/app/1394370/,Feb 1 2023,3,16,0,0,78.69%
541,ShemHaMephorash,/app/1481720/,Mar 29 2023,8,16,0,0,78.69%
542,Human or Not,/app/1891600/,Jan 20 2023,9,16,0,0,78.69%
543,HIGhSCORE,/app/2136550/,Mar 9 2023,8,16,0,0,78.69%
544,GUN KING,/app/2141810/,Mar 3 2023,5,16,0,0,78.69%
545,The Legend of Gwen,/app/2179460/,Feb 16 2023,4,16,0,0,78.69%
546,Trouble in Tornado Town,/app/2180060/,Jan 6 2023,3,16,0,0,78.69%
547,Kill Your Shapes,/app/2329950/,Mar 31 2023,5,16,0,0,78.69%
548,GachaHell,/app/2346160/,Apr 7 2023,7,16,0,0,78.69%
549,Returnal™,/app/1649240/,Feb 15 2023,"6,691","3,424",793,793,78.67%
550,Daydream: Prologue,/app/2247560/,Mar 3 2023,722,306,56,56,78.67%
551,My dream setup,/app/2200780/,Feb 20 2023,497,575,116,116,78.57%
552,Saint Maker,/app/1785300/,Feb 22 2023,40,72,9,9,78.57%
553,Escape First Alchemist,/app/2094320/,Mar 2 2023,161,155,25,25,78.56%
554,Artificiality-人造物-,/app/1023140/,Feb 25 2023,28,30,2,2,78.48%
555,Flame Keeper,/app/1374230/,Mar 17 2023,20,30,2,2,78.48%
556,Elfheim - Chapter 1,/app/2016350/,Dec 31 2023,19,30,2,2,78.48%
557,Hentai Fox,/app/2270530/,Feb 3 2023,7,30,2,2,78.48%
558,Rogue AI Simulator,/app/1790370/,Jan 12 2023,264,212,37,37,78.47%
559,ONE PIECE ODYSSEY,/app/814000/,Jan 12 2023,"7,545","1,589",356,356,78.45%
560,Alephant,/app/1823730/,Mar 1 2023,14,23,1,1,78.44%
561,Madorica Real Estate 2 - The mystery of the new property -,/app/2253730/,Feb 8 2023,12,23,1,1,78.44%
562,Guardians Frontline,/app/1481440/,Mar 9 2023,35,113,17,17,78.41%
563,Death in the Water 2,/app/1338840/,Jan 26 2023,344,541,110,110,78.40%
564,Ogre Chambers DX,/app/2280440/,Mar 3 2023,39,54,6,6,78.40%
565,The Exсrawlers,/app/1598910/,Feb 27 2023,15,36,3,3,78.37%
566,EXS2～EthnologySister2：Structuralism of kinship system,/app/2091630/,Jan 20 2023,11,36,3,3,78.37%
567,UC Love,/app/2309270/,Mar 1 2023,14,36,3,3,78.37%
568,丸转三国,/app/2220680/,Jan 7 2023,23,48,5,5,78.36%
569,Life Gallery,/app/1978330/,Jan 12 2023,49,142,23,23,78.32%
570,All-In-One Sports VR,/app/1514840/,Apr 7 2023,51,383,75,75,78.31%
571,Return to abyss 重返深渊,/app/2185780/,Jan 6 2023,"2,066",585,121,121,78.30%
572,One Giant Leap,/app/512750/,Jan 8 2023,4,15,0,0,78.30%
573,Checkmate Kings,/app/1646910/,Jan 30 2023,5,15,0,0,78.30%
574,Operator8,/app/1693710/,Mar 31 2023,3,15,0,0,78.30%
575,BETA-SIXDOUZE,/app/2051110/,Feb 10 2023,4,15,0,0,78.30%
576,RUSHAWAY,/app/2091540/,Feb 23 2023,6,15,0,0,78.30%
577,超级破碎球,/app/2128690/,Mar 11 2023,3,15,0,0,78.30%
578,The secret pyramid VR,/app/2171010/,Jan 18 2023,4,15,0,0,78.30%
579,Super Video Golf,/app/2173760/,Feb 2 2023,6,15,0,0,78.30%
580,COSMIC HOLES,/app/2267070/,Mar 13 2023,3,15,0,0,78.30%
581,Anime RPG: Isekai Journey,/app/2267290/,Mar 10 2023,6,15,0,0,78.30%
582,可识此阵,/app/2273440/,Jan 25 2023,6,15,0,0,78.30%
583,Finger Football: Goal in One,/app/2316750/,Feb 24 2023,2,15,0,0,78.30%
584,Jigsaw Puzzle Delicious Foods,/app/2323670/,Mar 9 2023,4,15,0,0,78.30%
585,Vampire Story,/app/2344920/,Mar 24 2023,7,15,0,0,78.30%
586,9 Years of Shadows,/app/1402120/,Mar 27 2023,316,517,106,106,78.23%
587,Apocalyptic Vibes,/app/1840610/,Mar 2 2023,37,75,10,10,78.23%
588,Innchanted,/app/1369720/,Mar 28 2023,133,53,6,6,78.22%
589,Schildmaid MX,/app/2154760/,Mar 24 2023,15,29,2,2,78.21%
590,Dream Bright,/app/2280200/,Feb 21 2023,14,29,2,2,78.21%
591,BACKROOMS: APPREHENSION,/app/2234150/,Jan 31 2023,242,85,12,12,78.16%
592,Whackerball,/app/2192170/,Jan 30 2023,17,41,4,4,78.13%
593,Interstellar Pilot 2,/app/2199580/,Jan 2 2023,25,35,3,3,78.13%
594,Isle of Pan,/app/1050260/,Jan 10 2023,6,22,1,1,78.11%
595,Relic Space,/app/1146420/,Mar 9 2023,23,22,1,1,78.11%
596,COTTOn Rock'n'Roll,/app/1364760/,Jan 6 2023,22,22,1,1,78.11%
597,The Safe Place,/app/1917830/,Mar 22 2023,9,22,1,1,78.11%
598,Otome Legends,/app/2121490/,Feb 8 2023,5,22,1,1,78.11%
599,Alice Escaped!,/app/1489410/,Jan 27 2023,145,134,22,22,78.06%
600,Gachi: Christmas Party 🎄,/app/2256780/,Jan 7 2023,36,68,9,9,77.99%
601,Rough Justice: '84,/app/1291860/,Mar 13 2023,34,46,5,5,77.96%
602,Aashaa,/app/2272090/,Jan 27 2023,8,46,5,5,77.96%
603,Burger Bistro Story,/app/1933990/,Jan 16 2023,133,57,7,7,77.94%
604,Supplice,/app/1693280/,Apr 6 2023,112,118,19,19,77.93%
605,时灵：星辰愚者,/app/1629910/,Feb 14 2023,55,78,11,11,77.93%
606,Graveyard Architect,/app/2133530/,Feb 23 2023,6,28,2,2,77.92%
607,MeiQi 2023,/app/2180430/,Feb 20 2023,17,28,2,2,77.92%
608,Undead World,/app/2193420/,Mar 10 2023,25,28,2,2,77.92%
609,The You Testament 2D,/app/2266320/,Feb 1 2023,10,28,2,2,77.92%
610,yni^,/app/2278390/,Feb 28 2023,4,28,2,2,77.92%
611,Beyond the Wall,/app/2290010/,Mar 21 2023,6,28,2,2,77.92%
612,You are the weapon,/app/2056250/,Jan 3 2023,9,93,14,14,77.90%
613,Sexy Milfs,/app/2265210/,Jan 27 2023,9,34,3,3,77.88%
614,Helmetman,/app/2286790/,Mar 13 2023,19,34,3,3,77.88%
615,Cyber Cult City,/app/1542760/,Mar 28 2023,3,14,0,0,77.87%
616,天地情殇,/app/1693930/,Feb 28 2023,12,14,0,0,77.87%
617,Strange Town,/app/1740250/,Mar 24 2023,10,14,0,0,77.87%
618,The Pyraplex,/app/2101280/,Feb 13 2023,26,14,0,0,77.87%
619,Unforgettable Voyage,/app/2149560/,Mar 1 2023,4,14,0,0,77.87%
620,The Senex Bird,/app/2166430/,Feb 22 2023,4,14,0,0,77.87%
621,Ruined Kingdom,/app/2206490/,Mar 1 2023,4,14,0,0,77.87%
622,Flower Memories,/app/2234420/,Feb 1 2023,3,14,0,0,77.87%
623,Sky Strikers VR,/app/2250690/,Mar 5 2023,15,14,0,0,77.87%
624,The militant mouse,/app/2256030/,Jan 13 2023,4,14,0,0,77.87%
625,Crawlspace 2,/app/2258670/,Jan 18 2023,4,14,0,0,77.87%
626,The King of Cats,/app/2265680/,Feb 16 2023,5,14,0,0,77.87%
627,炸弹魔塔 Bomb Tower,/app/2280270/,Mar 9 2023,3,14,0,0,77.87%
628,Lawnmower Game: Find Trump,/app/2288770/,Feb 3 2023,3,14,0,0,77.87%
629,TrashMorfers,/app/2304510/,Mar 16 2023,2,14,0,0,77.87%
630,Words of Wisdom,/app/2316590/,Mar 21 2023,3,14,0,0,77.87%
631,Rabbi-T,/app/2317340/,Mar 7 2023,3,14,0,0,77.87%
632,Animalistic,/app/1878920/,Mar 1 2023,5,51,6,6,77.85%
633,Alien Slayers,/app/2218140/,Feb 1 2023,47,51,6,6,77.85%
634,DUCK: Dangerous Ultimate Cartridge Kidnapper,/app/1820770/,Feb 14 2023,18,67,9,9,77.84%
635,Clunky Hero,/app/1687990/,Jan 25 2023,19,72,10,10,77.81%
636,Kill Pill,/app/2260930/,Jan 14 2023,18,56,7,7,77.77%
637,Refund Me If You Can : Lexy's Story,/app/2128050/,Feb 24 2023,4,21,1,1,77.77%
638,The Legend of Heroes: Kuro no Kiseki,/app/2138610/,Mar 2 2023,139,21,1,1,77.77%
639,Meme Quiz,/app/2147670/,Feb 13 2023,5,21,1,1,77.77%
640,2022生存指南 2022 SURVIVAL GUIDE,/app/2196390/,Mar 14 2023,5,21,1,1,77.77%
641,Gummy Dummy Battles,/app/2222260/,Jan 24 2023,8,21,1,1,77.77%
642,ATONE: Heart of the Elder Tree,/app/894620/,Jan 27 2023,12,45,5,5,77.75%
643,Ten Dates,/app/1946070/,Feb 14 2023,198,186,34,34,77.74%
644,GROSS,/app/1647420/,Jan 11 2023,99,106,17,17,77.70%
645,Ghosts Of Tabor,/app/1957780/,Mar 21 2023,"1,000","1,144",265,265,77.68%
646,Spelp,/app/2241390/,Jan 31 2023,223,39,4,4,77.67%
647,Path of the Midnight Sun,/app/1969060/,Jan 10 2023,111,86,13,13,77.65%
648,Spikair Volleyball,/app/1769270/,Feb 6 2023,18,33,3,3,77.62%
