,id,game,link,Primary Genre,Store Genres,Publisher,Developer,Detected Technologies,Store Asset Modification Time,review_percentage,players right now,24-hour peak,all-time peak,all-time date
2167,2167,ShellBlast,/app/841440/,Indie (23),"Indie (23), Strategy (2)",Vertigo Gaming Inc.,Vertigo Gaming Inc.,SDK.BASS,29 October 2022 – 02:49:38 UTC (6 months ago) (1667011778),,0,0,2,2018-09-09T16:40:35+00:00
2168,2168,Redemption Cemetery: Grave Testimony Collector’s Edition,/app/866750/,Adventure (25),"Adventure (25), Casual (4)",Big Fish Games,AMAX Interactive,,17 May 2018 – 22:52:36 UTC (5 years ago) (1526597556),,0,2,4,2020-04-12T21:40:10+00:00
2169,2169,Opus Mortem,/app/887750/,Casual (4),"Casual (4), Indie (23)",KZ42,KZ42,Engine.GameMaker,22 June 2018 – 00:31:56 UTC (5 years ago) (1529627516),,0,0,2,2018-07-12T14:10:36+00:00
2170,2170,Centifeed,/app/889450/,Indie (23),"Action (1), Casual (4), Indie (23)",Ghost Lord Games,Ghost Lord Games,"Engine.Love2D, SDK.OpenAL, SDK.SDL",26 October 2018 – 16:26:14 UTC (5 years ago) (1540571174),,0,0,2,2018-11-09T17:50:37+00:00
2171,2171,In Your Realm,/app/898830/,Action (1),"Action (1), Indie (23), RPG (3)",Got Game Studio,Got Game Studio,Engine.XNA,15 May 2019 – 10:59:40 UTC (4 years ago) (1557917980),,0,0,2,2018-08-17T18:30:37+00:00
2172,2172,Erotic Jigsaw Challenge Vol 2,/app/904530/,Sexual Content (71),"Casual (4), Indie (23), Simulation (28), Strategy (2)",BarelyEntertainment,BarelyEntertainment,"SDK.NWJS, SDK.NodeJS",24 July 2018 – 00:44:43 UTC (5 years ago) (1532393083),,0,0,6,2018-08-12T14:10:24+00:00
2173,2173,Rapid Racing,/app/906310/,Indie (23),Indie (23),Soft Loft Studios,Soft Loft Studios,"Engine.MonoGame, SDK.SteamworksNET",18 August 2018 – 21:29:48 UTC (5 years ago) (1534627788),,0,0,4,2018-09-10T18:20:32+00:00
2174,2174,Starkid's Obstacle Course,/app/906370/,Indie (23),"Action (1), Indie (23)",Sean Mombourquette,Sean Mombourquette,Engine.GameMaker,12 November 2018 – 23:25:21 UTC (5 years ago) (1542065121),,0,0,3,2018-12-01T07:10:08+00:00
2175,2175,Audio Infection,/app/911580/,Action (1),"Action (1), Casual (4), Indie (23)",RaafOritme,RaafOritme,"Engine.Unity, SDK.OculusXRPlugin, SDK.OpenVR, SDK.UnityHDRP",3 July 2020 – 02:32:23 UTC (3 years ago) (1593743543),,0,0,2,2019-01-23T17:00:11+00:00
2176,2176,RAZ,/app/912580/,Action (1),"Action (1), Indie (23)",Team.WM,Team.WM,"Engine.Unreal, SDK.NVIDIA_APEX, SDK.NVIDIA_Nsight_Aftermath, SDK.NVIDIA_PhysX, SDK.OculusXRPlugin, SDK.OpenVR, SDK.Vorbis",25 October 2018 – 20:57:49 UTC (5 years ago) (1540501069),,0,0,3,2018-09-15T03:20:26+00:00
